date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:21	8820/8820	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b363ed9e339d7a5a3dcfebce375715d%22	https://findrealestate.com/_next/static/chunks/app/(dark)/not-found-9813185fa1aab8f1.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/app/(dark)/not-found-9813185fa1aab8f1aae6.js	(from https://findrealestate.com/)
14:53:22	15419/15419	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed717977f282f36bee6cec0aada95fe0%22	https://findrealestate.com/_next/static/chunks/8527-e86fefa72ce67597.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/8527-e86fefa72ce67597aae6.js	(from https://findrealestate.com/)
14:53:23	58042/58042	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4f4497ebf19396be3b5d8249c5ba873%22	https://findrealestate.com/_next/static/chunks/8276-6483413b5a32d4ba.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/8276-6483413b5a32d4baaae6.js	(from https://findrealestate.com/)
14:53:24	18950/18950	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b092a5aa1405927e61762a24e9608d43%22	https://findrealestate.com/_next/static/chunks/7887-5ae8d1ef5143f522.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/7887-5ae8d1ef5143f522aae6.js	(from https://findrealestate.com/)
14:53:25	81492/81492	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d0fa409a226554a51473b6920cb81fb3%22	https://findrealestate.com/_next/static/chunks/7300-de0e9bdc43841de6.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/7300-de0e9bdc43841de6aae6.js	(from https://findrealestate.com/)
14:53:26	31489/31489	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d66e2dda48a2352d1133246e7758768a%22	https://findrealestate.com/_next/static/chunks/3677-311d860b167e68ff.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/3677-311d860b167e68ffaae6.js	(from https://findrealestate.com/)
14:53:27	17297/17297	---MCZ	200	added ('OK')	application/javascript	etag:W/%2284b6c8951907656cfb194c6011564371%22	https://findrealestate.com/_next/static/chunks/3070-f1c72743eb81cbb5.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/3070-f1c72743eb81cbb5aae6.js	(from https://findrealestate.com/)
14:53:28	9425/9425	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b8afa14b246c39583ba0a32c3e46f710%22	https://findrealestate.com/_next/static/chunks/2573-e9c38cc6ac2bb000.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/2573-e9c38cc6ac2bb000aae6.js	(from https://findrealestate.com/)
14:53:29	44396/44396	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c24f581eabbb368b8fa5bde38e6f210%22	https://findrealestate.com/_next/static/chunks/7459-b5acf2c62f22dabd.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/7459-b5acf2c62f22dabdaae6.js	(from https://findrealestate.com/)
14:53:30	56159/56159	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e682a035c4245cfa6d6fa28bf5c1a5fa%22	https://findrealestate.com/_next/static/chunks/app/(home)/page-e546e0006c60f019.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/app/(home)/page-e546e0006c60f019aae6.js	(from https://findrealestate.com/)
